City_ID,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
671,Cravo Norte,CO,83.55,6.3017,-70.2041,overcast clouds,Hotel Potosí Los Mirtos
672,Calamar,CO,86.7,10.2511,-74.9146,overcast clouds,Hostal Katyalex
676,Barahona,DO,85.82,18.2085,-71.1008,scattered clouds,Hotel Caribe
681,Yumbo,CO,83.08,3.5823,-76.4915,scattered clouds,Hotel Recreacional El Porvenir
685,Morant Bay,JM,88.72,17.8815,-76.4093,overcast clouds,Whispering Bamboo Cove Resort
690,Santa Cruz Del Norte,CU,85.01,23.1539,-81.9236,few clouds,Rioger Art
692,Linhares,BR,85.41,-19.3911,-40.0722,clear sky,Hotel Conceição
697,Pizarro,CO,80.92,4.9533,-77.366,light rain,Hotel Limonar
699,Pucallpa,PE,86.04,-8.3791,-74.5539,broken clouds,Hotel Sol de Oriente - Pucallpa
703,Kano,NG,87.04,12.0001,8.5167,overcast clouds,Royal Tropicana Hotel
707,Oschersleben,DE,81.66,52.0333,11.25,clear sky,Hotel Motorsport Arena
