City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
163,Boca Do Acre,BR,-8.7522,-67.3978,2022-06-18 18:54:10,82.49,84,73,2.59,light rain
164,Hofn,IS,64.2539,-15.2082,2022-06-18 18:54:11,54.88,50,7,21.9,clear sky
165,Grand-Santi,GF,4.25,-54.3833,2022-06-18 18:54:11,81.34,90,44,2.62,scattered clouds
166,Marabba,SD,12.35,32.1833,2022-06-18 18:54:11,93.29,28,100,12.5,overcast clouds
167,Santa Fe,AR,-31.6333,-60.7,2022-06-18 18:54:12,66.99,28,22,8.99,light rain
168,Ust-Koksa,RU,50.2696,85.6108,2022-06-18 18:54:12,49.95,91,100,2.91,overcast clouds
169,Turukhansk,RU,65.8167,87.9833,2022-06-18 18:54:13,50.49,63,7,9.75,clear sky
170,Clarence Town,AU,-32.5833,151.7833,2022-06-18 18:54:13,55.85,95,100,3.44,overcast clouds
171,Decatur,US,39.8403,-88.9548,2022-06-18 18:53:41,80.87,28,0,12.66,clear sky
172,The Valley,AI,18.217,-63.0578,2022-06-18 18:51:57,87.66,66,20,13.8,few clouds
173,Zlitan,LY,32.4674,14.5687,2022-06-18 18:54:14,76.08,65,64,7.61,broken clouds
174,Talas,TR,38.6908,35.5538,2022-06-18 18:54:14,70.47,56,0,4.61,clear sky
175,Tessalit,ML,20.1986,1.0114,2022-06-18 18:54:15,88.52,30,100,11.68,light rain
176,Antofagasta,CL,-23.65,-70.4,2022-06-18 18:54:15,61.88,69,63,5.57,broken clouds
177,Kollam,IN,8.8833,76.6,2022-06-18 18:54:16,78.76,86,79,9.84,broken clouds
178,Den Helder,NL,52.9599,4.7593,2022-06-18 18:54:16,62.96,77,100,15.99,overcast clouds
179,Inhambane,MZ,-23.865,35.3833,2022-06-18 18:54:16,67.98,73,20,11.5,few clouds
180,Hearst,CA,49.6835,-83.6665,2022-06-18 18:55:17,64.65,23,5,10.13,clear sky
181,Quime,BO,-16.9833,-67.2167,2022-06-18 18:55:17,56.79,52,24,6.89,few clouds
182,Araguari,BR,-18.6472,-48.1872,2022-06-18 18:55:17,68.29,54,100,6.6,overcast clouds
183,Muravlenko,RU,63.7898,74.523,2022-06-18 18:55:18,61.57,50,100,7.34,overcast clouds
184,Grand Gaube,MU,-20.0064,57.6608,2022-06-18 18:55:08,69.39,75,23,4.0,few clouds
185,Goundam,ML,16.4145,-3.6708,2022-06-18 18:54:19,92.55,34,82,6.06,broken clouds
186,Salalah,OM,17.0151,54.0924,2022-06-18 18:55:18,82.44,84,87,8.41,overcast clouds
187,Punta Arenas,CL,-53.15,-70.9167,2022-06-18 18:53:08,35.71,60,0,12.66,clear sky
188,Arsk,RU,56.0915,49.8778,2022-06-18 18:55:19,56.1,92,89,6.51,overcast clouds
189,Lourdes,FR,43.1,-0.05,2022-06-18 18:55:19,92.68,38,0,5.75,clear sky
190,Gubkinskiy,RU,64.434,76.5026,2022-06-18 18:55:20,61.2,51,92,7.34,overcast clouds
191,Koslan,RU,63.4564,48.8989,2022-06-18 18:55:20,49.44,92,10,6.44,clear sky
192,Belmonte,BR,-15.8631,-38.8828,2022-06-18 18:52:14,76.64,66,0,8.46,clear sky
193,Thinadhoo,MV,0.5333,72.9333,2022-06-18 18:55:21,83.25,72,100,5.23,overcast clouds
194,Toccoa,US,34.5773,-83.3324,2022-06-18 18:55:21,93.65,36,0,0.0,clear sky
195,Bambous Virieux,MU,-20.3428,57.7575,2022-06-18 18:55:22,69.22,88,40,8.05,scattered clouds
196,Ichnya,UA,50.8626,32.3942,2022-06-18 18:55:22,58.21,83,12,4.45,few clouds
197,Sorland,NO,67.667,12.6934,2022-06-18 18:55:22,51.66,88,100,4.18,overcast clouds
198,Manicore,BR,-5.8092,-61.3003,2022-06-18 18:55:23,91.15,39,100,1.99,overcast clouds
199,Saint-Joseph,RE,-21.3667,55.6167,2022-06-18 18:55:23,66.58,81,50,7.29,scattered clouds
200,Urucara,BR,-2.5364,-57.76,2022-06-18 18:55:24,90.45,46,50,4.88,scattered clouds
201,Havelock,US,34.8791,-76.9013,2022-06-18 18:55:24,91.35,57,0,1.99,clear sky
202,Canavieiras,BR,-15.675,-38.9472,2022-06-18 18:51:03,80.56,65,0,6.87,clear sky
203,Constitucion,CL,-35.3333,-72.4167,2022-06-18 18:55:25,55.87,56,100,9.64,overcast clouds
204,Mandera,KE,3.9366,41.867,2022-06-18 18:55:25,82.4,42,8,10.69,clear sky
205,Butoiesti,RO,44.5833,23.3667,2022-06-18 18:55:26,74.03,59,67,6.42,broken clouds
206,Santa Rosa,PH,14.3122,121.1114,2022-06-18 18:55:26,82.38,83,26,3.2,scattered clouds
207,Manakara,MG,-22.1333,48.0167,2022-06-18 18:55:26,67.73,87,99,3.87,light rain
208,Serenje,ZM,-13.2325,30.2352,2022-06-18 18:55:27,53.96,74,64,5.1,broken clouds
209,Kaspiyskiy,RU,45.3929,47.3707,2022-06-18 18:55:27,76.51,46,10,8.79,clear sky
210,Iguatemi,BR,-23.6803,-54.5611,2022-06-18 18:55:28,60.57,54,0,6.33,clear sky
